idx,doclength, imagelength
1840,319,1585
1841,319,1585
1842,319,1585
1843,319,1585
1844,319,1585
1845,319,1585
1846,319,1585
1847,319,1585
1848,320,1586
1849,322,1586
1850,322,1590
1851,322,1590
1852,322,1590
1853,322,1590
1854,322,1590
1855,322,1590
1856,322,1590
1857,322,1590
1858,322,1590
1859,323,1593
1860,323,1597
1861,324,1600
1862,324,1600
1863,324,1600
1864,324,1600
1865,324,1600
1866,324,1600
1867,325,1600
1868,326,1601
1869,327,1603
1870,328,1604
1871,328,1605
1872,328,1606
1873,328,1608
1874,328,1610
1875,328,1612
1876,329,1613
1877,329,1613
1878,329,1613
1879,330,1614
1880,330,1616
1881,330,1616
1882,330,1616
1883,331,1616
1884,331,1616
1885,332,1616
1886,332,1616
1887,333,1616
1888,334,1616
1889,335,1616
1890,337,1616
1891,337,1616
1892,337,1616
1893,338,1618
1894,338,1619
1895,338,1619
1896,339,1621
1897,339,1623
1898,339,1625
1899,341,1629
1900,341,1632
1901,341,1633
1902,341,1635
1903,342,1636
1904,342,1638
1905,342,1638
1906,342,1638
1907,342,1639
1908,343,1639
1909,344,1639
1910,344,1639
1911,344,1639
1912,344,1639
1913,344,1639
1914,344,1639
1915,344,1639
1916,344,1641
1917,344,1641
1918,344,1641
1919,344,1641
1920,344,1641
1921,345,1641
1922,345,1641
1923,345,1643
1924,346,1646
1925,346,1647
1926,349,1647
1927,349,1648
1928,349,1654
1929,349,1654
1930,350,1655
1931,350,1656
1932,350,1656
1933,351,1656
1934,351,1656
1935,351,1657
1936,351,1657
1937,351,1658
1938,351,1660
1939,351,1660
1940,351,1660
1941,351,1660
1942,351,1660
1943,351,1660
1944,351,1660
1945,352,1660
1946,352,1663
1947,352,1663
1948,352,1663
1949,352,1664
1950,352,1665
1951,352,1666
1952,352,1666
1953,352,1666
1954,353,1670
1955,353,1670
1956,353,1672
1957,355,1673
1958,355,1673
1959,356,1673
1960,356,1675
1961,357,1675
1962,359,1675
1963,359,1676
1964,359,1676
1965,359,1676
1966,360,1676
1967,360,1676
1968,361,1676
1969,361,1679
1970,361,1679
1971,362,1681
1972,362,1681
1973,363,1681
1974,363,1682
1975,363,1682
1976,363,1683
1977,363,1684
1978,363,1684
1979,363,1686
1980,363,1686
1981,363,1686
1982,363,1690
1983,363,1691
1984,363,1691
1985,363,1694
1986,363,1698
1987,364,1698
1988,364,1698
1989,364,1700
1990,364,1701
1991,364,1702
1992,364,1702
1993,365,1702
1994,365,1703
1995,366,1703
1996,366,1705
1997,366,1706
1998,366,1706
1999,366,1706
2000,366,1706
2001,366,1706
2002,367,1706
2003,367,1706
2004,367,1706
2005,368,1706
2006,368,1709
2007,368,1709
2008,368,1709
2009,368,1710
2010,369,1710
2011,369,1710
2012,369,1710
2013,369,1711
2014,369,1712
2015,369,1712
2016,369,1712
2017,369,1712
2018,369,1712
2019,369,1712
2020,370,1712
2021,370,1712
2022,370,1712
2023,370,1712
2024,371,1712
2025,371,1712
2026,371,1712
2027,371,1717
2028,371,1717
2029,371,1717
2030,371,1718
2031,371,1718
2032,372,1718
2033,373,1720
2034,373,1726
2035,373,1727
2036,374,1727
2037,374,1728
